age,income,category
14,163511.8707990143,A
14,28486.064186902364,B
14,10001.721310332048,C
14,54129.53378051624,B
14,9248.644820741574,A
14,78253.96706857477,B
14,20300.58669875123,A
14,88328.79863863147,A
14,32356.562159663983,A
14,10649.905979402576,C
14,10909.117921041048,A
14,22301.56021129027,A
14,65931.82516127493,B
14,106528.85255313685,A
14,16224.264195227932,C
14,34466.280513287325,C
14,13339.071657340148,C
14,5844.789222670555,B
14,11927.669481438495,C
14,44902.16871751065,A
14,61193.46618366378,B
14,45766.722013469,B
14,76795.94650298348,B
14,20459.224498193817,B
14,23911.355134076697,B
14,5337.374526526045,A
14,15321.629559598801,C
14,18149.077198288003,A
14,2928.5827498684357,C
14,6770.3849486909585,C
14,23087.939424575758,A
14,3990.5884666597735,A
14,57900.58278915668,B
14,36402.18509024043,C
14,19269.865382386775,C
14,35393.19447996627,A
14,124253.2467413584,B
14,21904.138218090513,B
14,27245.89057225557,B
14,254560.3232136251,B
14,35660.08406622103,C
14,125826.25873921954,B
14,5928.906496859877,B
14,29570.28834411301,A
14,2131.1279608320892,C
14,51947.23144086233,B
14,24743.159615221106,B
14,15383.987325911241,C
14,76811.60108889616,A
14,8376.231398903346,C
14,62760.958472763625,B
14,25007.194109025833,A
14,10563.681689492858,C
14,18577.80226103367,B
14,82333.90410727327,C
14,94370.4100095116,A
14,3995.244860092306,B
14,22803.26768258382,B
14,15579.832827611082,B
14,11219.464353358002,B
14,16141.403124082171,C
14,61953.30290040509,A
14,18250.52350351181,B
14,56563.917211353655,A
14,9297.28220491688,C
14,9242.80478975697,C
14,98399.4980571524,B
14,14542.348827468897,B
14,152633.28240749292,A
14,19332.348954916244,C
14,42281.6587820961,B
14,26798.328063936227,C
14,25826.013487825487,A
14,1807.419638669775,A
14,17783.003321008597,A
14,23838.955094848614,B
14,2264.6247968344383,C
14,10407.091202267273,A
14,177503.26628017402,B
14,21646.127255528914,A
14,1984.8819915533152,C
14,8489.57154586368,A
14,13959.311243599595,C
14,36438.43351833957,A
14,37939.20599466006,C
14,17539.522474936526,A
14,33413.22890115804,A
14,31881.530598568126,B
14,11267.91991078071,C
14,25998.129005049497,C
14,8148.1489536878635,C
14,156284.6950187686,B
14,13672.15564901723,A
14,62042.638372647176,B
14,13068.497437627646,C
14,12612.477035819757,B
14,31270.122764613036,C
14,10412.42844908684,C
14,21297.19785149521,C
14,8886.253803284475,A
14,87861.07898396353,B
14,6623.193677892653,C
14,26899.669336196413,B
14,41849.829850257905,B
14,82705.6650150306,A
14,8355.045840033767,C
14,43680.78787128319,B
14,35092.517145750455,C
14,5398.844687518743,C
14,36828.15021645582,C
14,14469.849422605665,B
14,28332.27927210116,C
14,8791.911090200607,C
14,192380.2418047178,A
14,18511.52787929413,C
14,14116.751869014077,A
14,189354.55535630026,B
14,24187.33596008908,A
14,14372.628059212684,C
14,16355.66234163372,A
14,19019.127802471423,A
14,12898.268077898127,C
14,18855.377195338784,C
14,28458.450996345433,B
14,10133.31878673314,A
14,8337.733907950887,C
14,107304.44178962131,C
14,10434.539179971547,C
14,17921.30829872917,C
14,36979.221758533684,B
14,21091.409550461223,A
14,3413.1156174783987,B
14,36751.72373492122,A
14,32914.72097448056,C
14,14447.63325990065,C
14,13782.562604817671,C
14,52704.99887965413,B
14,22434.415957649875,C
14,10262.599697050842,A
14,163917.82136992237,C
14,19729.21896583511,C
14,18513.61542056721,C
14,10391.666876746387,A
14,31408.341207450827,A
14,51782.781935212755,B
14,21401.179152458422,C
14,3299.689922808019,C
14,7439.7007713228995,C
14,11887.79678362322,C
14,81538.7836662599,B
14,10740.541723835413,C
14,14348.87921045307,A
14,78850.38649980657,B
14,36130.71129185168,A
14,165681.2208212992,A
14,16123.3504891884,C
14,125501.78845359603,A
14,86813.2075173608,A
14,45849.98274759445,A
14,21483.127018491352,B
14,10119.21601297697,C
14,62705.652511618566,B
14,37241.347849009835,C
14,3694.2034919898383,C
14,129223.18185866723,B
14,35699.07208632192,C
14,25149.175663063856,A
14,190370.42088925882,B
14,117954.15395548852,C
14,55542.66033960789,C
14,32254.768018010695,B
14,15895.338977897696,C
14,93498.26448769699,C
14,46510.69609121464,B
14,171571.5492110177,B
14,35329.590339822666,A
14,2610.2706251305863,C
14,18251.93729213543,C
14,18609.562500707085,A
14,44049.96180761209,A
14,31150.147171865796,B
14,80161.00476882968,A
14,25173.007563062933,A
14,4572.719321111948,A
14,15132.651484700707,C
14,5219.559190178954,C
14,14628.500142540008,C
14,36922.78445926599,C
14,30446.153332600064,C
14,10646.850067247227,A
14,12757.529386562992,A
14,6932.140781319203,C
14,23624.561094598514,A
14,17603.409981217927,B
14,46936.022820189086,A
14,47519.362250219056,C
14,20459.08520333558,C
14,28242.353418865718,C
14,32647.81606905333,A
14,3780.708795962997,B
