salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,class
103125.48379952488,0.0,21,2,8,3,319768.96426257194,4,338349.74371145567,1
98262.43477649744,0.0,55,1,18,6,144088.12440813935,19,139095.35411533137,0
133009.0417030814,0.0,68,1,14,5,233361.40250149256,7,478606.5361033906,1
102638.97775437204,0.0,43,1,12,5,212852.10923144632,9,350910.15672927565,0
108861.19651976676,0.0,24,4,6,8,0.0,6,231130.10592555787,1
133927.79144144696,0.0,40,1,16,6,276936.6307773405,21,229425.9262936994,0
149652.35113859095,0.0,28,4,16,1,879047.5102736164,28,54824.565175329575,1
88784.86486288781,0.0,55,0,4,8,0.0,25,320480.89928990405,0
133167.4140787797,0.0,39,4,20,3,326419.6342748174,25,80774.51787657669,1
88597.59236437302,0.0,58,3,7,8,0.0,23,100575.53169484796,0
60523.11786911634,84636.2017495671,61,2,15,8,0.0,8,112348.66851577869,1
28762.042654339974,12355.97185397636,41,0,17,3,389238.6319822735,16,107118.4036852193,0
147941.4774775756,0.0,26,0,13,5,390177.7532585096,4,124328.1669601428,1
44727.158097305495,43646.016087484895,47,1,9,7,74980.64478821005,30,37692.44418714468,0
125042.89181512131,0.0,74,4,4,0,921715.9151988176,18,418013.792539976,1
95293.4378061133,0.0,54,0,11,0,440113.8698111629,16,251425.1914597568,0
130853.5859662771,0.0,30,0,17,1,945939.781740885,3,297517.55322501383,1
74499.23899366343,53775.421696841855,53,2,9,3,584862.9873849147,11,119342.976307923,0
71452.16008286309,60376.76672199785,39,3,11,1,356520.8198189725,20,499227.2204272212,1
124922.9926244685,0.0,53,0,18,4,572702.415774431,4,469465.001963552,0
37457.8448711378,18657.150281432667,26,4,5,4,312702.50858315773,7,358806.093569399,1
54054.18411646527,65592.31812609482,55,3,18,0,489499.104471468,29,345509.8118779382,0
136867.5935365367,0.0,70,0,12,3,591033.3441552882,22,51396.810835892815,1
23076.376511188697,24484.73412457815,41,2,3,4,340458.45163310086,17,199839.19218003043,0
145129.46104900222,0.0,36,0,4,6,169137.42233596006,26,156838.65709749563,1
98807.15092979862,0.0,52,0,13,3,377361.25306929095,23,218028.7577274861,0
87589.6453136561,0.0,71,4,7,5,279389.2198874961,22,460385.4281090201,1
110637.09384527188,0.0,55,1,7,6,232985.8868425543,13,338658.97263636644,0
123185.60188378024,0.0,70,1,3,4,406180.8039660866,21,309630.4026811877,1
110526.05256376564,0.0,51,3,8,2,693634.8066670705,1,446329.9131056833,0
131857.27350492775,0.0,76,0,14,3,337943.34085326584,23,258978.8752218704,1
92660.28774834276,0.0,40,3,20,8,0.0,30,273935.9753054142,0
136637.05342032408,0.0,67,3,15,4,500710.71460020455,27,318830.7183880781,1
119555.7789586315,0.0,53,3,8,4,375949.0373059611,23,142864.07543157626,0
70698.26424828345,76873.11564763839,73,3,18,8,0.0,29,110269.34716190943,1
149988.01770619722,0.0,42,1,3,0,1003386.5632476212,8,99680.34118126646,0
22649.402251643205,21428.67593385928,28,3,4,3,482516.9917176104,9,383449.0491781204,1
125065.89844487829,0.0,54,3,15,6,265146.9196841512,19,134197.76902461267,0
130722.71080251316,0.0,73,0,9,7,74386.3439190956,15,284924.8223391611,1
106864.50115791416,0.0,41,0,16,5,204551.95714730755,7,177412.48308804762,0
114196.0501420967,0.0,68,4,20,4,592204.2521850052,27,97058.78904553672,1
119377.64789240524,0.0,58,4,20,3,637846.7698491086,13,225257.23244437712,0
77553.73052251269,0.0,75,4,14,4,427451.7882496933,2,304815.45612256514,1
128674.61980780357,0.0,56,4,1,4,430498.79384109867,25,378134.41520627856,0
81165.10702271236,0.0,61,3,9,2,898167.284959538,14,317392.3597270434,1
40907.23084564862,40873.38173408453,51,2,13,8,0.0,3,157258.57858508395,0
67031.31668971779,66733.23655416802,60,3,2,3,383528.11913646624,5,463836.3804222239,1
138680.88420294184,0.0,49,0,5,7,143265.30599341044,10,254436.00753475583,0
86071.31590707622,0.0,76,1,3,4,509070.053070802,28,207471.21177567256,1
141452.2911787276,0.0,52,2,1,4,490420.3930454131,27,293468.86120708054,0
38740.20407570317,75319.97285119144,29,0,16,4,335424.49362057267,23,198741.6619428867,1
62168.70668156929,14208.94210787552,42,2,14,2,446518.459310381,14,282964.0309579684,0
123027.53160452392,0.0,30,1,3,6,223942.07370748304,8,248833.62618397552,1
33864.92476490692,38602.32232432217,42,4,10,4,208775.839143826,27,329114.90796434035,0
55682.44942316961,52444.67627167743,63,0,20,7,133283.88996731883,29,143097.07572959724,1
123851.81553598784,0.0,58,2,8,3,560445.5815651522,22,377788.6618708386,0
119771.20068441032,0.0,63,1,4,0,647146.3071621088,15,16682.265622816216,1
133939.87757186327,0.0,43,4,17,4,532189.0478269589,9,457024.47676915606,0
142744.41609263583,0.0,71,2,11,1,677831.9721968867,3,70378.50750294133,1
