salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,target
43288.27735026499,75000.0,73,1,19,2,700000,15,248349.5180481223,1
105828.56387428955,0.0,68,4,10,2,0,26,256206.99098327564,0
61935.606609823226,72821.38010907223,73,2,1,2,0,13,16476.478887795296,1
21251.80227736647,18767.656619937352,32,2,6,4,500000,19,88570.69750311619,0
95011.15960243548,0.0,66,3,14,0,900000,9,399132.85795162106,0
141115.09588507406,0.0,42,1,10,6,300000,20,58109.469802677464,0
35476.982191543524,54379.421229693005,55,3,18,2,0,10,416988.07522866863,0
145360.5780741041,0.0,52,2,10,4,500000,23,481645.77922706987,0
90003.99220541463,0.0,70,1,14,2,700000,27,500000.0,0
79498.95682509078,0.0,38,2,15,2,0,6,458409.0365866745,1
88293.0541465104,0.0,48,1,3,8,100000,23,47072.97502009352,1
74822.67907559242,0.0,46,3,4,4,500000,17,228422.82601039266,1
41555.29367262455,33896.07607591123,32,4,1,2,0,8,365650.0268924813,0
89775.38866310689,0.0,76,2,8,2,0,20,448573.9029191884,0
87316.76401910683,0.0,22,3,20,3,600000,22,118525.62164753742,1
30258.508089036382,39451.87560910296,70,3,8,2,700000,26,427107.0114856431,1
36864.1879364805,75000.0,51,1,2,6,300000,6,429034.4414662352,0
107605.7268151338,0.0,20,0,4,7,200000,13,250078.8699547018,0
104099.53139696154,0.0,63,4,3,2,0,14,20744.200680442093,0
71545.27590648324,30630.344844255906,65,3,5,1,0,17,402957.1668756117,1
122240.72454279986,0.0,67,0,3,1,800000,30,401425.34158446116,0
126275.02569726188,0.0,80,4,3,0,0,14,161126.31715962334,0
102316.86546784255,0.0,29,2,10,5,400000,25,50893.86405081764,0
68633.49984747142,52434.594978836525,34,3,7,4,0,15,136445.01259535245,1
40001.1286866908,56558.048070632685,79,4,19,4,0,4,481906.9543623991,1
121538.32413049838,0.0,53,3,17,5,400000,21,481682.19688864995,1
50155.914107876866,75000.0,61,1,6,5,400000,10,80481.37079738642,1
96493.27556960015,0.0,36,0,20,7,200000,11,360359.8795688466,0
150000.0,0.0,44,2,4,1,800000,8,50144.76852341008,0
87543.56099527274,0.0,75,0,4,8,100000,6,59388.31080439496,0
107357.02424517294,0.0,24,3,2,3,600000,9,260235.44864371556,0
53012.87971160857,50218.63787117477,68,1,5,4,0,9,489418.09806481225,1
55241.53441059119,65636.54957224426,46,3,13,4,500000,21,217732.50423924057,0
91654.12967527664,0.0,54,3,4,0,900000,27,114284.97817713307,1
74690.21274620816,0.0,53,1,10,4,0,17,33560.22034954548,1
21251.80227736647,18767.656619937352,32,2,6,4,500000,19,88570.69750311619,0
150000.0,0.0,45,2,7,7,200000,22,103526.1790002443,0
66083.87085586766,0.0,47,2,6,0,900000,2,362713.80134536966,1
20000.0,10000.0,63,3,7,3,600000,9,56309.99406985934,1
95274.36097683356,0.0,67,3,12,4,500000,23,455317.42630678415,0
119378.54990694809,0.0,36,0,7,7,200000,19,147862.22326931945,0
44111.67372660125,62882.5911795422,80,4,16,3,0,21,407675.67589594127,1
113546.00078233753,0.0,22,1,14,0,0,27,302703.61259275256,0
77779.6889454747,0.0,48,4,7,2,0,10,394243.9809020775,1
133005.25572221883,0.0,46,3,2,3,600000,8,373685.2364103622,0
47827.686544088174,62243.43256068635,65,1,16,2,700000,27,367563.57508189895,1
82866.72073965333,0.0,28,1,3,8,100000,25,60975.810463836664,1
38035.76880884353,51944.8177932787,78,1,11,7,200000,23,296575.07653028466,1
141115.09588507406,0.0,42,1,10,6,300000,20,58109.469802677464,0
121615.31054300244,0.0,64,3,11,7,200000,23,25194.795964580604,0
91587.67430697581,0.0,57,2,3,6,300000,2,208552.0862066795,0
48324.987900979875,12865.67584325176,63,4,10,6,300000,25,430090.3153081322,1
