salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,target
113322.15255985086,0.0,20,2,8,3,600000,1,310213.541191816,1
107411.21705832538,0.0,38,1,12,5,400000,9,325391.2492444183,0
88460.69498482207,0.0,41,4,8,5,0,22,69282.58619319648,1
78685.2213763806,0.0,54,0,4,8,100000,28,358066.1933277234,0
45214.3975799323,50956.59887974934,31,4,4,4,0,17,254542.29533188048,1
36571.12824045987,56012.47569296068,60,3,7,8,100000,23,62675.95128167453,0
50782.51411171369,75000.0,80,2,3,8,100000,21,240004.54386970474,1
41285.33050736865,28269.957314572996,52,1,14,2,700000,9,441301.7708453205,0
32382.035847708834,12634.990792007542,62,1,6,6,300000,9,460838.1326945199,1
104464.15499936872,0.0,50,0,11,0,900000,14,220007.6875578291,0
99812.06183037307,0.0,64,1,13,1,0,19,125385.94544750832,1
88189.65151634031,0.0,49,2,20,8,100000,26,316272.4119454098,0
125689.90211771915,0.0,29,2,10,3,0,9,298828.4537669183,1
44929.59553890677,59560.68392088562,53,3,18,0,900000,29,299692.697694824,0
74687.7192812008,75000.0,74,0,12,3,600000,20,94384.91240526026,1
35586.26837834346,24955.538646801535,46,2,3,4,500000,20,167695.9737972768,0
147890.89123496195,0.0,36,0,4,6,300000,26,132310.90771135382,1
137162.62137184606,0.0,57,2,4,4,500000,22,248232.82138262672,0
102511.08952404739,0.0,76,1,20,4,500000,28,0.0,1
90483.86791996517,0.0,47,0,8,4,500000,9,69218.59796089525,0
20000.0,63061.913381965096,73,0,14,3,600000,25,275736.64848050574,1
150000.0,0.0,61,2,15,8,100000,29,248659.94905638014,0
95992.81980928083,0.0,67,4,16,3,600000,1,321855.4971068369,1
137517.89815652586,0.0,38,1,3,0,0,9,106077.29937426836,0
38145.95780894324,56293.69237492837,67,2,6,1,0,9,472025.83066870656,1
94321.29274408404,0.0,43,0,14,7,200000,13,364339.92617453076,0
135095.611034096,0.0,71,0,9,7,200000,14,283679.81557829556,1
101058.03107660294,0.0,49,4,8,7,200000,15,240483.276952967,0
45308.47854296614,18843.77299018815,35,2,4,8,100000,23,70874.7915463265,1
70931.77643179397,0.0,41,1,2,4,0,17,22216.27105755791,0
127947.76789641684,0.0,80,2,3,3,600000,24,248937.44846754463,1
65487.07194048278,55771.08079936856,44,2,19,0,900000,22,54816.011945170016,0
45626.9165180446,40041.225192793565,66,4,16,4,500000,12,365983.71565593884,1
127907.64121234603,0.0,58,4,1,4,500000,23,386667.377734064,0
93565.03480822858,0.0,22,4,15,6,300000,15,185811.64348437078,1
146051.81236238495,0.0,46,3,4,0,0,19,372126.9325828138,0
134723.44098828683,0.0,26,3,4,2,700000,23,141609.42740412435,1
34640.21222410082,28036.10409603045,55,4,5,1,800000,27,460953.78224674595,0
102224.72952296199,0.0,61,3,5,7,200000,14,214297.44098863413,1
69774.21300247408,10000.0,37,2,14,2,700000,15,257047.01014359968,0
