species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
2,0,43.1750380481097,14.07196071212866,208.54473668490894,2700.0,1
0,2,33.7789435121669,21.42062122669349,174.38168146319708,2700.0,1
2,0,51.1556547919968,16.10813922605861,217.8520392109611,3130.5781795320513,1
2,2,45.8894247179947,13.847960014746517,187.84871179333499,3749.923136512358,1
1,0,56.2234944478224,13.367259357664418,218.12258433271708,6157.4414900183865,0
2,2,43.374987330141,16.580970840265536,173.48868250750613,3138.9436892004123,0
2,0,49.4818594620985,19.250217238963323,186.3764098538665,4649.803914167567,1
0,1,32.3372297098325,15.952098735005702,188.6778214851634,3597.2164575073775,0
1,0,56.2234944478224,13.367259357664418,218.12258433271708,6157.4414900183865,0
1,1,41.2115703692758,17.847572575869386,190.08798941922566,5622.826432647415,1
0,0,57.6273516209331,18.075780563387962,211.60991847324746,6022.060240388226,1
2,1,38.4290658527095,18.689277408053837,181.6549905149338,3120.5032371025127,1
1,2,52.4449668997733,13.451389975644123,187.53441154560824,3439.867411022649,0
0,0,35.8472608853519,16.946609104668582,190.5570613482291,3101.4997979590894,0
2,0,41.2258033572299,15.31878149349301,187.14915871676772,4734.966359383071,0
0,0,50.9146802249607,20.70705346427917,187.05785907322465,2922.4866201901177,1
0,0,33.3194416936923,14.797710292640208,198.75445938865283,2700.0,1
0,1,54.7829632330047,15.17806917382803,221.66847556061018,4914.629477147328,0
2,0,36.4479469417279,17.74929411056352,200.10915487846,4386.249993797779,1
2,2,49.0751493742717,16.48105157626014,201.83661794884205,3768.5508467195655,1
1,0,51.5797996155798,18.14721077063647,195.83541866663583,4151.701409397754,0
2,1,44.5088056719888,13.1,181.5628047060719,5030.445688086331,0
0,2,41.5823311082406,13.64368076789395,220.69652374377839,4135.606327945067,1
2,0,58.2254363511531,14.434575134672949,196.2761191801021,2941.3399731553945,0
2,2,40.6506449407255,16.771782389419087,196.29014098046622,2700.0,0
1,1,41.2115703692758,17.847572575869386,190.08798941922566,5622.826432647415,1
1,0,35.7923712499674,13.894093915428432,181.89025708436955,4043.2440759782717,0
0,1,53.797495920154,16.241178386667006,210.05976979311245,4234.819697636731,0
0,2,51.6752587546849,14.09556731438585,198.47093672255377,3344.281393605357,1
2,0,48.9058874431934,16.25652509563746,203.75549380880713,2857.3742406845463,1
1,0,36.8618544892726,13.978007637164449,177.840195717524,3524.2793136429113,1
1,0,56.2234944478224,13.367259357664418,218.12258433271708,6157.4414900183865,0
2,2,58.2546675787116,20.13345432159854,175.93787034478154,2700.0,1
2,1,42.5112247725425,14.906423132793485,192.76979128539247,2902.991859934787,1
2,1,47.9708549650048,14.769699031229852,172.0,5092.276176906509,0
0,0,44.3972074323553,16.196393296604906,173.5423447407021,3001.256171679964,0
0,0,59.6,17.747368738619883,175.96522712575324,3915.2699155046203,1
0,2,51.5573124225739,17.104810116602945,198.23204999222645,2924.6858138793677,1
2,2,38.807000287673,18.292500662944857,189.47379447007407,3865.805930217919,1
1,0,55.1995423940463,17.11818764275114,224.37504201988403,3288.1787090935604,0
2,1,54.6802966913194,13.1,216.07653414573133,3901.463930773601,0
1,2,41.740779930552,17.100652016977715,228.5668751032182,3830.916137087772,0
2,0,39.980843981357,16.000716527216216,182.55282923551567,4469.723824293273,0
2,0,49.1627702156427,14.412168014000086,186.51329500073055,3858.7378050769153,1
1,1,57.1477830986474,17.739520968821132,201.0476740247147,3404.098934707674,1
0,1,48.205314329802,15.661377575370436,177.07414073781078,3972.1992024841397,1
0,0,48.8476498534878,16.206840433357783,194.0511732345179,3756.3217606793214,1
1,0,44.9039581002457,20.163406770928287,213.12318651637037,2700.0,0
2,0,41.6070642237036,16.515022948914893,202.70117873051228,2700.0,1
2,2,48.1711567140401,14.193458092801482,201.4000630942431,4129.368764607518,1
2,2,34.7010007701948,20.711944219641474,215.42901777952065,4320.424135253016,0
2,0,55.0391808456546,16.38324592683864,220.7157837405759,2750.8182372897727,0
1,1,35.5404634409204,16.24182293476752,217.22355862675334,2736.018194134129,0
2,2,59.6,18.867759227633982,173.23206935897878,6075.158676576197,0
1,0,42.4078756125464,20.753402989827748,186.4292550045239,2700.0,0
1,1,35.5404634409204,16.24182293476752,217.22355862675334,2736.018194134129,0
1,0,42.8014284780784,17.36688896006145,211.649534110558,4548.797780135823,1
1,0,44.9039581002457,20.163406770928287,213.12318651637037,2700.0,0
0,2,44.6676136752138,17.205900487561568,195.17500991818787,2974.0385191343116,0
2,1,44.9839171862535,21.401677899184037,190.7756905309379,4237.822895699177,0
0,0,55.1587174126089,16.482979337776225,189.19585466761595,2700.0,0
1,0,37.2108114146556,13.1,188.72554736358913,5077.96103443761,1
0,1,56.4908875077956,19.60042566922319,198.48852497519334,3575.7001245533083,1
2,0,52.0130379601018,14.883641439705363,209.1755824919514,3190.3735137780004,1
2,1,47.8676515653751,20.326241417663585,172.32086589961438,4196.230749494954,0
1,1,50.979856712823,13.1,184.7722751406365,6094.083467408038,1
0,1,46.4640198370792,15.745939951617274,186.11630405466275,2828.6298109113663,0
0,2,41.4700672600112,18.417470926760963,187.40698637233373,5811.432181796349,0
