island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,species
1,42.2,18.5,180.0,3550.0,0,0
1,51.3,19.9,198.0,3700.0,1,1
0,41.7,14.7,210.0,4700.0,0,2
0,50.0,15.3,220.0,5550.0,1,2
1,45.2,17.8,198.0,3950.0,0,1
1,37.0,16.5,185.0,3400.0,0,0
0,43.4,14.4,218.0,4600.0,0,2
1,51.3,19.9,198.0,3700.0,1,1
1,39.2,18.6,190.0,4250.0,1,0
0,50.0,15.3,220.0,5550.0,1,2
0,49.6,15.0,216.0,4750.0,1,2
1,45.2,16.6,191.0,3250.0,0,1
0,50.0,15.3,220.0,5550.0,1,2
0,45.7,13.9,214.0,4400.0,0,2
2,40.6,19.0,199.0,4000.0,1,0
0,49.5,16.2,229.0,5800.0,1,2
0,47.5,14.2,209.0,4600.0,0,2
0,40.6,18.6,183.0,3550.0,1,0
0,47.7,15.0,216.0,4750.0,0,2
1,49.0,19.6,212.0,4300.0,1,1
1,45.4,18.7,188.0,3525.0,0,1
0,36.5,16.6,181.0,2850.0,0,0
1,42.5,17.3,187.0,3350.0,0,1
0,44.5,14.7,214.0,4850.0,0,2
1,42.4,17.3,181.0,3600.0,0,1
0,35.5,16.2,195.0,3350.0,0,0
1,42.4,17.3,181.0,3600.0,0,1
0,41.0,20.0,203.0,4725.0,1,0
0,45.5,15.0,220.0,5000.0,1,2
1,50.7,19.7,203.0,4050.0,1,1
0,48.5,15.0,219.0,4850.0,0,2
1,43.5,18.1,202.0,3400.0,0,1
0,50.0,15.3,220.0,5550.0,1,2
0,50.7,15.0,223.0,5550.0,1,2
1,47.6,18.3,195.0,3850.0,0,1
1,42.5,17.3,187.0,3350.0,0,1
1,38.9,18.8,190.0,3600.0,0,0
1,37.3,17.8,191.0,3350.0,0,0
0,40.6,18.6,183.0,3550.0,1,0
2,39.0,17.1,191.0,3050.0,0,0
0,42.2,19.5,197.0,4275.0,1,0
1,45.5,17.0,196.0,3500.0,0,1
1,52.0,19.0,197.0,4150.0,1,1
0,43.5,14.2,220.0,4700.0,0,2
1,44.1,19.7,196.0,4400.0,1,0
0,37.9,18.6,193.0,2925.0,0,0
1,49.7,18.6,195.0,3600.0,1,1
1,45.6,19.4,194.0,3525.0,0,1
1,45.5,17.0,196.0,3500.0,0,1
2,41.4,18.5,202.0,3875.0,1,0
2,34.6,21.1,198.0,4400.0,1,0
0,37.7,16.0,183.0,3075.0,0,0
0,37.6,19.1,194.0,3750.0,1,0
0,44.9,13.3,213.0,5100.0,0,2
0,38.2,18.1,185.0,3950.0,1,0
0,46.7,15.3,219.0,5200.0,1,2
0,45.8,14.6,210.0,4200.0,0,2
0,46.1,15.1,215.0,5100.0,1,2
0,45.8,14.2,219.0,4700.0,0,2
1,52.0,19.0,197.0,4150.0,1,1
1,42.4,17.3,181.0,3600.0,0,1
1,46.8,16.5,189.0,3650.0,0,1
0,37.6,19.1,194.0,3750.0,1,0
0,48.5,15.0,219.0,4850.0,0,2
1,37.0,16.9,185.0,3000.0,0,0
0,42.6,13.7,213.0,4950.0,0,2
1,52.0,19.0,197.0,4150.0,1,1
0,46.4,15.6,221.0,5000.0,1,2
1,46.5,17.9,192.0,3500.0,0,1
0,42.2,19.5,197.0,4275.0,1,0
1,40.9,18.9,184.0,3900.0,1,0
1,37.2,18.1,178.0,3900.0,1,0
1,51.5,18.7,187.0,3250.0,1,1
0,45.8,14.2,219.0,4700.0,0,2
0,38.1,17.0,181.0,3175.0,0,0
0,44.5,14.7,214.0,4850.0,0,2
0,39.7,17.7,193.0,3200.0,0,0
2,40.9,16.8,191.0,3700.0,0,0
0,41.1,19.1,188.0,4100.0,1,0
1,58.0,17.8,181.0,3700.0,0,1
1,49.0,19.6,212.0,4300.0,1,1
0,42.9,13.1,215.0,5000.0,0,2
1,36.9,18.6,189.0,3500.0,0,0
1,49.3,19.9,203.0,4050.0,1,1
1,49.5,19.0,200.0,3800.0,1,1
0,48.4,14.6,213.0,5850.0,1,2
1,42.5,17.3,187.0,3350.0,0,1
0,47.5,14.2,209.0,4600.0,0,2
1,42.4,17.3,181.0,3600.0,0,1
1,43.5,18.1,202.0,3400.0,0,1
2,43.1,19.2,197.0,3500.0,1,0
0,37.7,16.0,183.0,3075.0,0,0
0,46.9,14.6,222.0,4875.0,0,2
1,52.0,19.0,197.0,4150.0,1,1
1,32.1,15.5,188.0,3050.0,0,0
0,35.3,18.9,187.0,3800.0,0,0
0,50.2,14.3,218.0,5700.0,1,2
0,42.2,19.5,197.0,4275.0,1,0
1,49.0,19.6,212.0,4300.0,1,1
1,45.5,17.0,196.0,3500.0,0,1
0,40.1,18.9,188.0,4300.0,1,0
0,47.6,14.5,215.0,5400.0,1,2
1,51.5,18.7,187.0,3250.0,1,1
0,46.9,14.6,222.0,4875.0,0,2
0,49.5,16.2,229.0,5800.0,1,2
1,49.0,19.6,212.0,4300.0,1,1
0,42.8,14.2,209.0,4700.0,0,2
0,46.3,15.8,215.0,5050.0,1,2
1,50.7,19.7,203.0,4050.0,1,1
1,51.5,18.7,187.0,3250.0,1,1
0,48.7,15.1,222.0,5350.0,1,2
0,46.2,14.4,214.0,4650.0,1,2
1,37.2,18.1,178.0,3900.0,1,0
0,46.8,16.1,215.0,5500.0,1,2
0,43.9219298245614,17.151169590643278,200.91520467836256,4201.754385964912,1,2
0,46.4,15.6,221.0,5000.0,1,2
1,50.7,19.7,203.0,4050.0,1,1
0,47.2,13.7,214.0,4925.0,0,2
0,42.7,13.7,208.0,3950.0,0,2
1,47.6,18.3,195.0,3850.0,0,1
0,50.8,17.3,228.0,5600.0,1,2
2,39.2,19.6,195.0,4675.0,1,0
1,36.0,18.5,186.0,3100.0,0,0
1,51.9,19.5,206.0,3950.0,1,1
1,45.5,17.0,196.0,3500.0,0,1
1,49.5,19.0,200.0,3800.0,1,1
1,58.0,17.8,181.0,3700.0,0,1
1,52.0,19.0,197.0,4150.0,1,1
1,41.3,20.3,194.0,3550.0,1,0
1,42.4,17.3,181.0,3600.0,0,1
0,40.9,13.7,214.0,4650.0,0,2
2,41.8,19.4,198.0,4450.0,1,0
0,49.6,15.0,216.0,4750.0,1,2
1,51.3,19.9,198.0,3700.0,1,1
0,49.5,16.1,224.0,5650.0,1,2
1,48.1,16.4,199.0,3325.0,0,1
0,47.3,15.3,222.0,5250.0,1,2
1,41.1,18.1,205.0,4300.0,1,0
0,48.5,14.1,220.0,5300.0,1,2
0,44.4,17.3,219.0,5250.0,1,2
0,40.6,18.6,183.0,3550.0,1,0
0,43.8,13.9,208.0,4300.0,0,2
0,45.3,13.8,208.0,4200.0,0,2
0,46.2,14.5,209.0,4800.0,0,2
0,41.6,18.0,192.0,3950.0,1,0
1,58.0,17.8,181.0,3700.0,0,1
0,50.2,14.3,218.0,5700.0,1,2
2,33.5,19.0,190.0,3600.0,0,0
1,45.5,17.0,196.0,3500.0,0,1
1,39.6,18.1,186.0,4450.0,1,0
0,37.9,18.6,172.0,3150.0,0,0
0,42.0,19.5,200.0,4050.0,1,0
0,54.3,15.7,231.0,5650.0,1,2
1,36.4,17.0,195.0,3325.0,0,0
2,39.3,20.6,190.0,3650.0,1,0
1,52.0,19.0,197.0,4150.0,1,1
1,33.1,16.1,178.0,2900.0,0,0
2,38.5,17.9,190.0,3325.0,0,0
1,45.7,17.3,193.0,3600.0,0,1
0,52.1,17.0,230.0,5550.0,1,2
0,46.8,16.1,215.0,5500.0,1,2
1,41.5,18.5,201.0,4000.0,1,0
0,46.2,14.4,214.0,4650.0,1,2
0,50.8,15.7,226.0,5200.0,1,2
2,38.6,21.2,191.0,3800.0,1,0
1,50.7,19.7,203.0,4050.0,1,1
1,39.6,18.8,190.0,4600.0,1,0
0,45.8,14.2,219.0,4700.0,0,2
