salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,target,block
105025.0974063487,0.0,40,1,12,5,400000,9,338150.70298684697,0,1
83735.04311963421,0.0,55,0,4,8,100000,26,339273.54630881373,0,1
39018.81645354823,52794.00487466486,59,3,7,8,100000,23,81625.74148826124,0,1
46805.32695850289,26267.81272381693,50,1,14,2,700000,8,439272.3739403052,0,1
99878.79640274102,0.0,52,0,11,0,900000,15,235716.43950879294,0,1
82576.82300367129,0.0,52,2,20,8,100000,26,296786.77659512433,0,1
49491.88982768602,62576.501023490215,54,3,18,0,900000,29,322601.2547863811,0,1
29331.32244476608,24720.136385689842,44,2,3,4,500000,18,183767.58298865362,0,1
138431.41634009566,0.0,58,2,4,4,500000,22,226214.63784611755,0,1
96383.0895847593,0.0,44,0,8,4,500000,8,71447.7895418908,0,1
150000.0,0.0,59,2,15,8,100000,29,261297.96218089716,0,1
143752.95793136154,0.0,40,1,3,0,0,8,102878.82027776742,0,1
90048.09770105209,0.0,42,0,14,7,200000,13,341066.23961262684,0,1
107333.8687050741,0.0,50,4,8,7,200000,15,232285.27587312617,0,1
76582.31177531286,0.0,41,1,2,4,0,17,39629.92071001009,0,1
62071.489583871575,54955.233101725644,46,2,19,0,900000,23,52216.399666282065,0,1
128291.1305100748,0.0,57,4,1,4,500000,24,382400.8964701713,0,1
143324.63563608157,0.0,47,3,4,0,0,20,385891.8996100246,0,1
36721.83406361498,26165.940958562536,57,4,5,1,800000,27,444079.98611642484,0,1
65971.45984202168,12063.835826818151,39,2,14,2,700000,14,270005.520550784,0,1
69553.66055072316,54713.2103035385,58,2,5,1,0,22,11047.243266109215,0,1
50919.29991456568,16181.815479964062,45,2,19,6,300000,13,40241.41110331485,0,1
88235.96742562728,0.0,44,2,2,5,400000,15,499169.71139831585,0,1
123294.523177466,0.0,57,1,19,3,0,9,146514.1757321406,0,1
22326.29043881694,45461.61654411378,45,4,19,1,800000,8,495909.1306411546,0,1
133461.20195045444,0.0,46,3,4,5,400000,21,106713.11610797056,0,1
51915.807704743725,39121.626493031836,54,4,20,8,100000,30,321466.78503629327,0,1
136943.52497402203,0.0,58,0,2,2,700000,20,20590.433110614813,0,1
90583.04224330293,0.0,59,3,14,4,500000,2,476192.4800782694,0,1
74704.46818232436,0.0,50,3,10,4,500000,13,232504.99270356185,0,1
114288.49167396492,0.0,51,1,2,3,0,15,275757.51601377403,0,1
53656.610753684436,68307.69218570142,50,4,17,0,0,30,398605.9882055858,0,1
55293.77046400527,43021.531643768656,39,0,14,0,900000,13,125387.0711464254,0,1
33558.29327139455,75000.0,60,4,14,1,0,7,170832.9415762099,0,1
138557.6690357218,0.0,54,3,18,7,200000,25,312111.0797060688,0,1
138679.05826305566,0.0,60,3,9,0,900000,20,220538.58125235295,0,1
55770.907766143224,44229.00799275705,42,4,19,5,400000,18,60425.37089014355,0,1
