salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,target
108223.81817968788,0.0,20,2,8,3,600000,3,324281.64245163585,1
105025.0974063487,0.0,40,1,12,5,400000,9,338150.70298684697,0
84277.26126273356,0.0,39,4,8,5,0,24,48625.77998391922,1
83735.04311963421,0.0,55,0,4,8,100000,26,339273.54630881373,0
49727.48708878705,49250.27867926085,31,4,4,4,0,17,279513.7005254833,1
39018.81645354823,52794.00487466486,59,3,7,8,100000,23,81625.74148826124,0
50272.47300358188,75000.0,77,2,3,8,100000,21,241355.89672247507,1
46805.32695850289,26267.81272381693,50,1,14,2,700000,8,439272.3739403052,0
27150.2785960717,14814.849502897618,65,1,6,6,300000,8,446581.66485481383,1
99878.79640274102,0.0,52,0,11,0,900000,15,235716.43950879294,0
98583.31283443833,0.0,64,1,13,1,0,19,124246.80967091038,1
82576.82300367129,0.0,52,2,20,8,100000,26,296786.77659512433,0
121102.03551762449,0.0,29,2,10,3,0,8,321288.50908379175,1
49491.88982768602,62576.501023490215,54,3,18,0,900000,29,322601.2547863811,0
71046.20813687205,75000.0,74,0,12,3,600000,21,72890.86162057654,1
29331.32244476608,24720.136385689842,44,2,3,4,500000,18,183767.58298865362,0
146510.17614198208,0.0,36,0,4,6,300000,26,144574.7824044247,1
138431.41634009566,0.0,58,2,4,4,500000,22,226214.63784611755,0
105281.21120475134,0.0,77,1,20,4,500000,27,0.0,1
96383.0895847593,0.0,44,0,8,4,500000,8,71447.7895418908,0
20000.0,64692.124564175276,71,0,14,3,600000,24,267357.7618511881,1
150000.0,0.0,59,2,15,8,100000,29,261297.96218089716,0
99444.40329509058,0.0,68,4,16,3,600000,2,339313.9642061825,1
143752.95793136154,0.0,40,1,3,0,0,8,102878.82027776742,0
43240.674063394355,59376.78260919484,68,2,6,1,0,7,477193.1085928752,1
90048.09770105209,0.0,42,0,14,7,200000,13,341066.23961262684,0
132909.16091830455,0.0,72,0,9,7,200000,14,284302.31895872834,1
107333.8687050741,0.0,50,4,8,7,200000,15,232285.27587312617,0
