salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,target
118057.21096987468,0.0,36,1,16,3,600000,17,275006.9984775347,0
117246.74600839082,0.0,51,3,12,7,200000,22,383299.633566524,1
115663.09019595536,0.0,80,4,10,8,100000,25,490542.3868530691,0
115161.45966490073,0.0,79,3,11,6,300000,24,256740.2981500382,0
150000.0,0.0,75,0,11,6,300000,4,385450.74007358414,0
49202.86725318766,30018.32263779451,58,0,12,3,0,13,185562.79464198742,1
58968.05082064739,46913.19469973574,33,2,14,8,100000,30,496430.5387141233,1
122240.72454279986,0.0,67,0,3,1,800000,30,401425.34158446116,0
32841.28660716072,58617.72725338601,54,1,4,7,200000,18,500000.0,0
36756.16201698687,27695.896590082393,46,3,1,7,200000,4,386568.20816387766,0
118664.2166549037,0.0,61,2,14,5,400000,19,500000.0,0
47221.31024144471,75000.0,43,1,19,8,100000,6,150548.78827861114,0
60947.780926713545,49756.75583557182,31,3,5,4,500000,12,190037.48075731666,1
21905.029259618583,14635.462976105897,63,0,19,6,300000,15,168011.14398263698,1
131235.92782108462,0.0,55,0,14,1,800000,9,13018.371383349815,0
26784.264141664222,73751.42846122418,73,4,18,3,600000,23,187766.44611487855,1
136578.9235107201,0.0,26,4,7,4,500000,1,325126.6623716827,0
70846.68417286895,0.0,33,1,4,5,400000,1,232578.2340380709,1
126077.31329022876,0.0,51,3,16,2,0,23,76463.00687197864,1
45642.36156098174,70518.29935931698,74,0,17,1,800000,6,0.0,1
133182.90944106795,0.0,77,0,14,6,300000,4,205763.44597710404,0
127853.32363038167,0.0,29,0,17,2,700000,3,229195.09849020126,0
103211.42871238991,0.0,50,2,16,6,300000,23,432836.1934149861,1
28636.301584082736,75000.0,41,4,20,6,300000,10,488246.66801685427,0
61712.990851936775,28470.998853209407,30,4,4,1,800000,13,251395.2307763196,1
97618.41706015756,0.0,26,3,9,2,700000,3,251036.65832745878,0
59003.46054630174,10000.0,45,4,6,1,800000,20,434288.1573100506,0
