salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,target
103125.48379952488,0.0,21,2,8,3,319768.96426257194,4,338349.74371145567,0
135983.3438016299,0.0,25,4,14,0,423837.77555045625,7,116330.4466953698,0
98262.43477649744,0.0,55,1,18,6,144088.12440813935,19,139095.35411533137,1
133009.0417030814,0.0,68,1,14,5,233361.40250149256,7,478606.5361033906,0
63757.29086464148,16955.938253511093,26,2,12,4,522851.309309752,24,229712.43983592128,1
36227.40117091722,79172.152902112,25,4,10,5,323205.6435770286,23,34777.57441187046,0
105964.23141380232,0.0,69,2,3,3,683241.8333776349,13,138986.80155504606,0
102638.97775437203,0.0,43,1,12,5,212852.10923144632,9,350910.15672927565,1
108861.19651976675,0.0,24,4,6,8,0.0,6,231130.10592555787,0
55093.21748195614,79404.33847159133,64,4,8,5,402855.5760569429,25,27968.97377464197,1
126834.33722088508,0.0,71,2,13,4,226475.4420846189,30,471454.8571675272,0
133927.79144144696,0.0,40,1,16,6,276936.6307773405,21,229425.9262936994,0
54434.42164474682,28497.06307704876,55,4,9,6,279564.5767204954,13,180998.22185680547,0
149652.35113859095,0.0,28,4,16,1,879047.5102736164,28,54824.565175329575,0
101567.98542140171,0.0,70,3,20,1,619337.1181721501,20,498060.6901200484,0
88784.86486288781,0.0,55,0,4,8,0.0,25,320480.89928990405,1
34501.78256746394,42607.39380018288,49,0,9,8,0.0,17,456313.91967241024,0
133167.4140787797,0.0,39,4,20,3,326419.6342748174,25,80774.51787657669,0
143954.96719495536,0.0,79,4,1,5,296581.71240868437,4,464549.30813230854,0
134233.84411701397,0.0,73,2,8,0,592697.2739577865,19,473474.72264899703,0
31134.94876882424,46449.28474874603,24,4,5,2,695850.4936484204,18,82563.47948706383,0
88597.59236437302,0.0,58,3,7,8,0.0,23,100575.53169484796,1
60523.117869116344,84636.2017495671,61,2,15,8,0.0,8,112348.66851577869,1
63951.12307916919,54123.1538842925,34,4,8,0,456794.46880722605,21,29436.883438161698,1
28762.042654339974,12355.97185397636,41,0,17,3,389238.6319822735,16,107118.4036852193,0
37200.54033425325,80163.56804355033,56,4,16,3,642309.7121453767,26,203529.9807429683,0
32262.353543944686,59423.70621359973,42,3,14,7,136383.67483696033,2,336682.2736466508,0
147941.4774775756,0.0,26,0,13,5,390177.7532585096,4,124328.16696014281,0
44727.158097305495,43646.016087484895,47,1,9,7,74980.64478821005,30,37692.44418714468,0
125042.89181512133,0.0,74,4,4,0,921715.9151988177,18,418013.79253997596,0
145969.51344701764,0.0,79,1,6,6,197128.2250901437,7,432325.1970151077,0
137317.57251637132,0.0,30,3,1,6,153040.6116344304,26,392564.6783970608,0
57082.39976309964,62244.36277001219,66,4,16,2,413938.7203605823,7,484354.6824845794,1
95293.4378061133,0.0,54,0,11,0,440113.8698111629,16,251425.19145975678,1
130853.5859662771,0.0,30,0,17,1,945939.781740885,3,297517.55322501383,0
107777.63196853171,0.0,35,3,4,3,539459.5287536052,2,309690.75516605156,0
74499.23899366343,53775.421696841855,53,2,9,3,584862.9873849147,11,119342.976307923,0
71452.16008286309,60376.76672199785,39,3,11,1,356520.8198189725,20,499227.22042722115,1
149492.53822116228,0.0,24,4,7,8,0.0,30,174504.41748225753,0
28942.870827802504,28321.331238109855,38,1,15,8,0.0,20,491926.65512574115,0
124922.9926244685,0.0,53,0,18,4,572702.415774431,4,469465.001963552,1
37457.8448711378,18657.150281432667,26,4,5,4,312702.50858315773,7,358806.093569399,0
46467.65060256888,57567.84691638098,36,4,16,4,562134.5964317293,28,25399.446831265326,0
102456.97815019525,0.0,73,2,2,0,666845.2308840705,5,318556.6886506898,0
54054.184116465265,65592.31812609482,55,3,18,0,489499.104471468,29,345509.8118779382,0
39377.057112207534,12702.110354562295,43,4,18,2,557872.027728463,2,154129.17496506684,0
136867.5935365367,0.0,70,0,12,3,591033.3441552882,22,51396.810835892815,0
121415.11144328755,0.0,76,3,20,2,855458.293541734,8,432302.848109982,0
146906.78428102518,0.0,71,1,14,0,543488.5307345656,30,166092.73397321434,0
141006.06518628233,0.0,71,1,9,2,772424.7054812827,4,191270.86129846715,0
25034.198996552237,45301.75158144927,32,3,12,4,528214.5523886248,28,113797.74370388518,0
23076.376511188697,24484.73412457815,41,2,3,4,340458.45163310086,17,199839.19218003043,0
147549.45933577383,0.0,54,2,1,1,963926.8881028922,9,89283.90808623182,0
145129.46104900222,0.0,36,0,4,6,169137.42233596006,26,156838.65709749563,0
98807.15092979862,0.0,52,0,13,3,377361.25306929095,23,218028.75772748614,1
87589.6453136561,0.0,71,4,7,5,279389.2198874961,22,460385.4281090201,0
101010.20329303319,0.0,62,0,10,8,0.0,14,163091.45242869994,0
110637.09384527188,0.0,55,1,7,6,232985.8868425543,13,338658.97263636644,1
137364.72094523575,0.0,59,4,10,6,209587.44262713962,1,151937.4746341769,0
47323.74903474345,68931.9120608185,58,2,15,7,94215.97993048074,7,255586.99843729354,0
123185.60188378025,0.0,70,1,3,4,406180.8039660866,21,309630.4026811877,0
32140.33600982315,81399.97468393564,35,2,8,3,323676.98112288635,2,122421.27203917508,0
81767.72474844466,0.0,74,0,15,6,277227.3818101963,19,97217.61836985465,0
110526.05256376564,0.0,51,3,8,2,693634.8066670705,1,446329.9131056833,1
131857.27350492775,0.0,76,0,14,3,337943.34085326584,23,258978.8752218704,0
26528.39006828332,28689.870974497873,74,0,15,2,780849.9610333587,22,265565.94292779436,1
92660.28774834276,0.0,40,3,20,8,0.0,30,273935.9753054142,1
136637.05342032408,0.0,67,3,15,4,500710.71460020455,27,318830.71838807815,0
119555.7789586315,0.0,53,3,8,4,375949.0373059611,23,142864.07543157626,1
55322.963920684,33978.21763140717,54,0,5,2,438756.88783691206,23,76402.633288574,0
47813.874023778364,41115.09219236636,41,4,15,6,112453.14211671706,27,210071.7588867128,0
137629.002184223,0.0,57,0,19,6,195395.94651147138,12,149306.32618619173,0
70698.26424828345,76873.11564763839,73,3,18,8,0.0,29,110269.34716190945,1
48524.812500786706,42687.69820349774,21,3,11,6,244836.27552545775,27,233695.07461615506,0
36591.61364655089,56669.27207305485,21,3,19,0,467157.9697296002,14,67849.74361528212,0
80020.79772669653,0.0,23,2,13,5,213498.08526344446,11,168750.27403693533,1
134353.1981802464,0.0,37,3,9,1,679214.7853491328,24,269709.52396126685,0
149988.01770619722,0.0,42,1,3,0,1003386.5632476211,8,99680.34118126646,0
22649.402251643205,21428.67593385928,28,3,4,3,482516.9917176104,9,383449.0491781204,0
41812.58863781429,55543.562041819874,67,0,6,4,243239.49986304264,1,464443.5842035608,1
94853.57469361383,0.0,78,3,13,3,287998.23892152996,23,415285.8168901592,0
51570.419469827175,62289.475187182914,39,4,4,0,677763.0122467591,14,330760.670343678,1
28964.37574755327,58565.74405426039,20,3,16,1,653466.3809280939,12,317792.553050723,0
127731.95043031957,0.0,65,1,14,2,740277.1824080352,21,135041.19819370043,0
125065.89844487827,0.0,54,3,15,6,265146.91968415113,19,134197.76902461267,0
130722.71080251315,0.0,73,0,9,7,74386.3439190956,15,284924.8223391611,0
106864.50115791416,0.0,41,0,16,5,204551.95714730755,7,177412.48308804762,1
53585.81315162815,30974.386602818948,58,2,18,0,813301.8013719474,7,42806.48097901063,0
113609.70633354525,0.0,51,4,8,7,114590.28997409524,16,224087.27479328538,1
22241.62371528845,32067.6685990373,45,1,10,5,291978.1466278574,17,171878.69707310127,0
